id	survey	record_id_square	record_id_circle	type_observed	type_analysis	criterium	indicator	belang	voorwaarde	plot_type	waarde	waarde_numeric	referentiewaarde	status_voorwaarde	theoretischmaximum	verschilscore
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	1	1	1	1	3	0
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Vegetatie	sleutelsoorten	b	aanwezigheid helm	square	1	1	1	1	1	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Structuur	naakte bodem	b	afwisseling van begroeide en vegetatieloze duinen	square	NA	NA	1	NA	1	NA
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Structuur	(korst)moslaag	zb	bedekking alle mossen	square	0	0	30	1	100	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Verstoring	exoten	b	bedekking overige exoten	square	20	20	10	0	100	-0.1111
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Verstoring	rijshout	b	bedekking rijshout	circle	0	0	10	1	100	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Structuur	kruidlaag	zb	bedekking soorten pionierduingrasland	square	52	52	30	0	100	-0.3143
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Verstoring	structuurverstoring	b	bedekking structuurverstoring	circle	0	0	WT	1	100	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Verstoring	vergrassing	zb	bedekking vergrassing	square	75.424	75.424	30	0	100	-0.6489
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Verstoring	verruiging	zb	bedekking verruiging	square	0	0	30	1	100	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Structuur	horizontale structuur	b	fijnmazige afwisseling	square	1	1	1	1	1	1
10010417_2023-08-11	N2000_Duinen_fieldapp	IV2023090510341314	NA	2120	2120	Structuur	dynamiek	zb	spontane verstuiving aanwezig	circle	1	1	1	1	1	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	1	1	1	1	3	0
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Vegetatie	sleutelsoorten	b	aanwezigheid helm	square	1	1	1	1	1	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Structuur	naakte bodem	b	afwisseling van begroeide en vegetatieloze duinen	square	NA	NA	1	NA	1	NA
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Structuur	(korst)moslaag	zb	bedekking alle mossen	square	0	0	30	1	100	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Verstoring	exoten	b	bedekking overige exoten	square	100	100	10	0	100	-1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Verstoring	rijshout	b	bedekking rijshout	circle	0	0	10	1	100	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Structuur	kruidlaag	zb	bedekking soorten pionierduingrasland	square	100	100	30	0	100	-1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Verstoring	structuurverstoring	b	bedekking structuurverstoring	circle	0	0	WT	1	100	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Verstoring	vergrassing	zb	bedekking vergrassing	square	100	100	30	0	100	-1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Verstoring	verruiging	zb	bedekking verruiging	square	0	0	30	1	100	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Structuur	horizontale structuur	b	fijnmazige afwisseling	square	1	1	1	1	1	1
10010417_2120_2019-10-24	N2000meetnet_Duinen_BHM	IV2020031622591285	IV2020031622542410	2120	2120	Structuur	dynamiek	zb	spontane verstuiving aanwezig	circle	1	1	1	1	1	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	2	2	1	1	3	0.5
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Vegetatie	sleutelsoorten	b	aanwezigheid helm	square	1	1	1	1	1	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Structuur	naakte bodem	b	afwisseling van begroeide en vegetatieloze duinen	square	NA	NA	1	NA	1	NA
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Structuur	(korst)moslaag	zb	bedekking alle mossen	square	0	0	30	1	100	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Verstoring	exoten	b	bedekking overige exoten	square	5	5	10	1	100	0.5
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Verstoring	rijshout	b	bedekking rijshout	circle	0	0	10	1	100	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Structuur	kruidlaag	zb	bedekking soorten pionierduingrasland	square	1.25	1.25	30	1	100	0.9583
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Verstoring	structuurverstoring	b	bedekking structuurverstoring	circle	0	0	WT	1	100	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Verstoring	vergrassing	zb	bedekking vergrassing	square	3.70332031249999	3.7033	30	1	100	0.8766
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Verstoring	verruiging	zb	bedekking verruiging	square	0	0	30	1	100	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Structuur	horizontale structuur	b	fijnmazige afwisseling	square	1	1	1	1	1	1
10038833_2023-08-31	N2000_Duinen_fieldapp	IV2023090510343053	NA	2120	2120	Structuur	dynamiek	zb	spontane verstuiving aanwezig	circle	1	1	1	1	1	1
10038833_2120_2019-10-23	N2000meetnet_Duinen_BHM	IV2020031620082049	IV2020031619445734	2120	2120	Vegetatie	sleutelsoorten	b	aantal sleutelsoorten	square	2	2	1	1	3	0.5
10038833_2120_2019-10-23	N2000meetnet_Duinen_BHM	IV2020031620082049	IV2020031619445734	2120	2120	Vegetatie	sleutelsoorten	b	aanwezigheid helm	square	1	1	1	1	1	1
